current (mA), power (mW)
2.3, 0.0001
4.4, 0.0022
9.6, 0.0049
16.6, 0.0086
20.2, 0.0106
25.6, 0.0143
30.1, 0.0230
31.6, 0.0259
33.0, 0.0441
34.0, 0.231
38.6, 1.488
41.5, 2.270
45.7, 3.389
50.3, 4.547
56.6, 6.097
60.0, 6.970
65.7, 8.410
70.3, 9.515
74.5, 10.52
80.5, 11.97
85.2, 13.06
90.6, 14.26
95.0, 15.22
100.8, 16.57
105.3, 17.52
110.8, 18.70
116.4, 19.90
120.8, 20.82
125.1, 21.67
130.6, 22.81
136.3, 23.94
140.5, 24.80
145.7, 25.78
150.8, 26.67
154.8, 27.37
159.5, 28.12
165.8, 29.29
170.0, 30.06
174.8, 30.97
179.6, 31.85
185.2, 32.76
190.6, 33.51
194.5, 34.01
199.8, 34.71
