in s,C1 in V
-2.9919259E+01,4.275959E-01
-2.9918801E+01,4.271206E-01
-2.9918343E+01,4.247984E-01
-2.9917885E+01,4.274330E-01
-2.9917428E+01,4.254095E-01
-2.9916970E+01,4.256268E-01
-2.9916512E+01,4.247712E-01
-2.9916054E+01,4.246898E-01
-2.9915597E+01,4.250836E-01
-2.9915139E+01,4.273515E-01
-2.9914681E+01,4.245947E-01
-2.9914223E+01,4.250428E-01
-2.9913765E+01,4.260071E-01
-2.9913308E+01,4.262108E-01
-2.9912850E+01,4.280984E-01
-2.9912392E+01,4.246490E-01
-2.9911934E+01,4.265367E-01
-2.9911477E+01,4.268354E-01
-2.9911019E+01,4.252466E-01
-2.9910561E+01,4.243638E-01
-2.9910103E+01,4.250157E-01
-2.9909646E+01,4.266725E-01
-2.9909188E+01,4.262243E-01
-2.9908730E+01,4.276910E-01
-2.9908272E+01,4.257762E-01
-2.9907815E+01,4.255317E-01
-2.9907357E+01,4.238749E-01
-2.9906899E+01,4.250564E-01
-2.9906441E+01,4.250428E-01
-2.9905983E+01,4.264009E-01
-2.9905526E+01,4.250293E-01
-2.9905068E+01,4.253959E-01
-2.9904610E+01,4.254910E-01
-2.9904152E+01,4.279490E-01
-2.9903695E+01,4.276910E-01
-2.9903237E+01,4.265774E-01
-2.9902779E+01,4.253416E-01
-2.9902321E+01,4.282614E-01
-2.9901864E+01,4.245404E-01
-2.9901406E+01,4.231823E-01
-2.9900948E+01,4.264009E-01
-2.9900490E+01,4.274194E-01
-2.9900032E+01,4.251651E-01
-2.9899575E+01,4.237935E-01
-2.9899117E+01,4.247984E-01
-2.9898659E+01,4.271885E-01
-2.9898201E+01,4.232231E-01
-2.9897744E+01,4.256132E-01
-2.9897286E+01,4.262651E-01
-2.9896828E+01,4.253688E-01
-2.9896370E+01,4.243503E-01
-2.9895913E+01,4.279219E-01
-2.9895455E+01,4.266589E-01
-2.9894997E+01,4.283293E-01
-2.9894539E+01,4.266861E-01
-2.9894081E+01,4.273515E-01
-2.9893624E+01,4.284922E-01
-2.9893166E+01,4.277589E-01
-2.9892708E+01,4.264824E-01
-2.9892250E+01,4.256268E-01
-2.9891793E+01,4.260071E-01
-2.9891335E+01,4.259120E-01
-2.9890877E+01,4.268490E-01
-2.9890419E+01,4.254774E-01
-2.9889962E+01,4.258305E-01
-2.9889504E+01,4.273787E-01
-2.9889046E+01,4.251379E-01
-2.9888588E+01,4.251922E-01
-2.9888130E+01,4.256540E-01
-2.9887673E+01,4.281120E-01
-2.9887215E+01,4.265503E-01
-2.9886757E+01,4.284379E-01
-2.9886299E+01,4.257490E-01
-2.9885842E+01,4.276367E-01
-2.9885384E+01,4.282750E-01
-2.9884926E+01,4.260071E-01
-2.9884468E+01,4.278132E-01
-2.9884011E+01,4.277589E-01
-2.9883553E+01,4.277046E-01
-2.9883095E+01,4.279898E-01
-2.9882637E+01,4.247033E-01
-2.9882180E+01,4.255861E-01
-2.9881722E+01,4.280169E-01
-2.9881264E+01,4.255725E-01
-2.9880806E+01,4.282478E-01
-2.9880348E+01,4.279490E-01
-2.9879891E+01,4.261972E-01
-2.9879433E+01,4.233453E-01
-2.9878975E+01,4.257219E-01
-2.9878517E+01,4.284651E-01
-2.9878060E+01,4.278947E-01
-2.9877602E+01,4.270527E-01
-2.9877144E+01,4.289132E-01
-2.9876686E+01,4.276774E-01
-2.9876229E+01,4.270799E-01
-2.9875771E+01,4.250836E-01
-2.9875313E+01,4.276910E-01
-2.9874855E+01,4.280034E-01
-2.9874397E+01,4.267540E-01
-2.9873940E+01,4.286416E-01
-2.9873482E+01,4.261429E-01
-2.9873024E+01,4.262651E-01
-2.9872566E+01,4.249749E-01
-2.9872109E+01,4.269713E-01
-2.9871651E+01,4.298910E-01
-2.9871193E+01,4.280984E-01
-2.9870735E+01,4.278811E-01
-2.9870278E+01,4.257626E-01
-2.9869820E+01,4.286145E-01
-2.9869362E+01,4.274737E-01
-2.9868904E+01,4.264688E-01
-2.9868446E+01,4.277046E-01
-2.9867989E+01,4.286009E-01
-2.9867531E+01,4.281663E-01
-2.9867073E+01,4.263194E-01
-2.9866615E+01,4.276638E-01
-2.9866158E+01,4.266861E-01
-2.9865700E+01,4.271342E-01
-2.9865242E+01,4.269441E-01
-2.9864784E+01,4.256268E-01
-2.9864327E+01,4.270392E-01
-2.9863869E+01,4.261564E-01
-2.9863411E+01,4.261836E-01
-2.9862953E+01,4.255589E-01
-2.9862495E+01,4.283972E-01
-2.9862038E+01,4.272021E-01
-2.9861580E+01,4.293071E-01
-2.9861122E+01,4.275145E-01
-2.9860664E+01,4.273379E-01
-2.9860207E+01,4.271206E-01
-2.9859749E+01,4.275145E-01
-2.9859291E+01,4.282478E-01
-2.9858833E+01,4.272021E-01
-2.9858376E+01,4.284922E-01
-2.9857918E+01,4.287910E-01
-2.9857460E+01,4.267540E-01
-2.9857002E+01,4.284922E-01
-2.9856544E+01,4.270527E-01
-2.9856087E+01,4.273108E-01
-2.9855629E+01,4.264959E-01
-2.9855171E+01,4.264552E-01
-2.9854713E+01,4.260750E-01
-2.9854256E+01,4.247033E-01
-2.9853798E+01,4.249478E-01
-2.9853340E+01,4.275009E-01
-2.9852882E+01,4.268219E-01
-2.9852425E+01,4.271478E-01
-2.9851967E+01,4.270663E-01
-2.9851509E+01,4.287910E-01
-2.9851051E+01,4.270120E-01
-2.9850594E+01,4.273108E-01
-2.9850136E+01,4.273108E-01
-2.9849678E+01,4.297009E-01
-2.9849220E+01,4.285466E-01
-2.9848762E+01,4.279490E-01
-2.9848305E+01,4.293342E-01
-2.9847847E+01,4.268219E-01
-2.9847389E+01,4.279219E-01
-2.9846931E+01,4.258984E-01
-2.9846474E+01,4.247577E-01
-2.9846016E+01,4.247441E-01
-2.9845558E+01,4.275552E-01
-2.9845100E+01,4.249885E-01
-2.9844643E+01,4.260478E-01
-2.9844185E+01,4.275145E-01
-2.9843727E+01,4.280034E-01
-2.9843269E+01,4.273108E-01
-2.9842811E+01,4.277861E-01
-2.9842354E+01,4.279219E-01
-2.9841896E+01,4.300540E-01
-2.9841438E+01,4.259935E-01
-2.9840980E+01,4.253552E-01
-2.9840523E+01,4.262651E-01
-2.9840065E+01,4.289947E-01
-2.9839607E+01,4.278947E-01
-2.9839149E+01,4.280169E-01
-2.9838692E+01,4.272972E-01
-2.9838234E+01,4.286960E-01
-2.9837776E+01,4.275009E-01
-2.9837318E+01,4.247169E-01
-2.9836860E+01,4.271478E-01
-2.9836403E+01,4.275824E-01
-2.9835945E+01,4.262243E-01
-2.9835487E+01,4.254774E-01
