current (mA), power (mW)
2.1, 0.0003
7.6, 0.0039
10.5, 0.0054
14.3, 0.0074
20.9, 0.0112
25.7, 0.0147
29.5, 0.0207
30.1, 0.0236
30.2, 0.0942
30.6, 0.304
31.7, 0.568
32.7, 0.697
33.4, 1.028
35.4, 1.385
40.6, 2.745
46.1, 4.024
50.1, 4.964
55.1, 6.209
59.8, 7.249
65.3, 8.686
70.7, 9.752
75.6, 10.66
79.9, 11.74
85.3, 12.78
89.9, 14.72
94.9, 15.25
101.7, 16.61
105.3, 17.40
110.7, 18.52
115.1, 19.53
120.2, 20.74
124.8, 21.11
130.0, 22.81
136.1, 23.65
139.8, 24.19
144.5, 25.11
150.7, 26.19
154.8, 27.49
159.4, 27.16
166.2, 28.55
170.8, 30.29
175.1, 30.78
180.1, 31.42
185.5, 32.17
190.8, 33.04
194.8, 33.80
199.3, 34.71
