current (mA), power (mW)
2.3, 0.0001
4.8, 0.0027
9.8, 0.0050
14.0, 0.0073
19.5, 0.0104
23.6, 0.0133
26.8, 0.0159
28.4, 0.0182
30.2, 0.0592
31.0, 0.280
34.0, 1.11
35.9, 1.51
40.6, 2.78
45.1, 3.91
49.8, 5.11
55.0, 6.43
59.5, 7.36
65.1, 8.86
70.4, 10.11
74.3, 10.89
80.6, 12.24
85.1, 13.33
89.6, 14.57
94.9, 15.77
100.8, 17.07
105.2, 17.65
109.3, 18.95
115.0, 19.99
120.3, 21.22
125.0, 22.34
130.0, 22.99
134.7, 24.16
140.8, 25.22
145.5, 26.08
150.7, 27.06
155.0, 28.06
160.8, 29.02
165.7, 29.63
170.1, 30.75
175.1, 31.31
180.4, 32.64
184.9, 32.98
189.8, 33.30
195.9, 34.27
199.5, 36.00
